time,value1,value2,value3
151749,0,0,0.6447
151749,0,0,0.6914
151749,0,0,0.7381
151749,0,0,0.7848
151749,0,0,0.8314
151749,0,0,0.8782
151749,0,0,0.9249
151749,0,0,0.8792
151749,0,0,0.8335
151749,0,0,0.7877
151749,0,0,0.7419
151749,0,0,0.696
151749,0,0,0.6501
151749,0,0,0.6041
151749,0,0,0.5581
151749,0,0,0.512
151749,0,0,0.4658
151749,0,0,0.4195
151749,0,0,0.3732
151749,0,0,0.3268
151749,0,0,0.2803
151749,0,0,0.2338
151749,0,0,0.1871
151749,0,0,0.1404
151749,0,0,0.0937
151749,0,0,0.0468
151749,0,0,0
151749,0,0,-0.046
151749,0,0,-0.093
151749,0,0,-0.141
151750,0,0,-0.188
151750,0,0,-0.235
151750,0,0,-0.282
151750,0,0,-0.329
151750,0,0,-0.377
151750,0,0,-0.424
151750,0,0,-0.472
151750,0,0,-0.519
151750,0,0,-0.472
151750,0,0,-0.425
151750,0,0,-0.378
151750,0,0,-0.331
151750,0,0,-0.284
151750,0,0,-0.237
151750,0,0,-0.189
151750,0,0,-0.142
151750,0,0,-0.095
151750,0,0,-0.047
151750,0,0,0
151750,0,0,0.0476
151750,0,0,0.0953
151750,0,0,0.143
151750,0,0,0.1908
151750,0,0,0.2387
151750,0,0,0.191
151750,0,0,0.1434
151750,0,0,0.0956
151750,0,0,0.0478
151750,0,0,0
151750,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0,-0.048
151751,0,0,-0.096
151751,0,0,-0.144
151751,0,0,-0.193
151751,0,0,-0.241
151751,0,0,-0.29
151751,0,0,-0.242
151751,0,0,-0.193
151751,0,0,-0.145
151751,0,0,-0.097
151751,0,0,-0.048
151751,0,0,0
151751,0,0,0
151751,0,0,0
151751,0,0.0333,0
151751,0,0.0666,0
151751,0,0.1,0
151751,0,0.1333,0
151751,0,0.1666,0
